muttype	features	mean	upper	lower
C_to_A.nonCpG	DHS	0.23767242	0.4403623893857002	0.038927914947271346
C_to_A.nonCpG	CpGisland	-0.3093897	0.26359210833907126	-0.9710975930094718
C_to_A.nonCpG	Lamin	0.45108795	0.6481387332081795	0.2568095952272415
C_to_A.nonCpG	GC	-0.14657289	0.048641263972967815	-0.3493115797638893
C_to_A.nonCpG	RT	-0.004722108	0.3040970385074615	-0.32219427525997163
C_to_A.nonCpG	RR	0.048130717	0.22483436018228528	-0.1258862480521202
C_to_A.nonCpG	Exon	0.07079958	0.2463174384087324	-0.12752701379358766
C_to_A.nonCpG	H3K27ac	-0.07166972	0.15536558255553243	-0.3291783332824707
C_to_A.nonCpG	H3K27me3	0.1433226	0.33660993054509153	-0.04417533576488495
C_to_A.nonCpG	H3K36me3	0.03855894	0.2767983317375183	-0.1938909262418747
C_to_A.nonCpG	H3K4me1	-0.032983862	0.20699570886790747	-0.28166594356298447
C_to_A.nonCpG	H3K4me3	0.20242783	0.42411087080836296	-0.02024281192570925
C_to_A.nonCpG	H3K9ac	-0.021536466	0.19404427632689464	-0.2350636538118124
C_to_A.nonCpG	H3K9me3	0.33194184	0.5334354802966118	0.1284571334719658
C_to_A.nonCpG	intercept	7.604253	7.825927484035492	7.381727242469788
A_to_G	DHS	0.025825167	0.15575085915625095	-0.10624688602983952
A_to_G	CpGisland	-0.19179003	0.33470547348260865	-0.7791168570518493
A_to_G	Lamin	0.21318623	0.3284484624862671	0.09683284014463425
A_to_G	GC	0.04620195	0.16047737821936606	-0.06699785999953747
A_to_G	RT	0.06444713	0.28661552593111983	-0.15216800048947335
A_to_G	RR	0.15628664	0.27511991858482354	0.038764177821576595
A_to_G	Exon	0.07679233	0.20618273541331286	-0.06790122985839843
A_to_G	H3K27ac	-0.003732725	0.16366521231830117	-0.1763080008327961
A_to_G	H3K27me3	0.12906872	0.2510218612849712	0.00630545997992158
A_to_G	H3K36me3	0.065319344	0.22088109403848644	-0.09285668190568686
A_to_G	H3K4me1	0.0058602374	0.17097620666027066	-0.16398180462419987
A_to_G	H3K4me3	0.28970256	0.4284169547259806	0.14960452392697335
A_to_G	H3K9ac	0.15106505	0.2964707113802433	0.009041019016876817
