chr	loc	obs	exp	chr_level	pval	qval	zscore	dist
chr1	1708	6	1.0145110491214773	1	0.0006399791184557917	1.0	4.949705586421184	28822
chr1	1360	4	0.9152014362545016	1	0.014223011870834882	1.0	3.2245451590736756	1000000
chr1	1339	4	1.1414717588515682	1	0.02891426661192181	1.0	2.6755304726848976	1000000
chr1	1272	5	1.135791445575516	1	0.006196946369095226	1.0	3.6258619168317807	1000000
chr1	1268	4	1.101158865699568	1	0.02582747503141079	1.0	2.7624817997755726	235
chr1	1503	4	1.168515747449114	1	0.031102305290692522	1.0	2.6193701006371755	235
chr1	1500	4	1.164494942849776	1	0.03077101007791314	1.0	2.6276143366533016	1000000
chr1	1494	5	1.152566476982929	1	0.00657848058053187	1.0	3.5837535226332067	1000000
chr1	1437	4	1.098933693582285	1	0.025663150938054994	1.0	2.7673998337615986	836
chr1	2273	4	1.1946375732095282	1	0.033305680597898665	1.0	2.5666750626720716	836
chr1	2260	4	1.129690641203492	1	0.02799060242983146	1.0	2.7005295982769444	1000000
chr1	2189	4	1.223637188987618	1	0.035855728868551706	1.0	2.5098622389369942	33
chr1	2222	4	1.2056100050329344	1	0.034257650016896735	1.0	2.5449754423116375	6
chr1	2228	4	1.2034999725389963	1	0.03407336661850361	1.0	2.549128834797488	6
chr1	2424	4	1.317996299628728	1	0.04491246516784485	1.0	2.336158351928189	40
chr1	2464	4	1.1177542770667137	1	0.02707296189176694	1.0	2.726200751698651	40
chr1	2367	4	1.1942087856571302	1	0.03326879692240589	1.0	2.5675281867010296	1000000
chr1	2358	4	1.166042487990286	1	0.03089827261433881	1.0	2.6244369708439113	45
chr1	2403	4	1.2537759477624393	1	0.03862214240484568	1.0	2.45259590855484	2
chr1	2405	4	1.1768695391859614	1	0.031797315786188385	1.0	2.602356476271176	2
chr1	2409	4	1.2031329193488518	1	0.034041368560782284	1.0	2.5498522863830657	3
chr1	2412	4	1.2300578373039517	1	0.03643513936602349	1.0	2.4975140192785457	3
chr1	2002	5	1.3207173548316933	1	0.011349496409581744	1.0	3.2015346724893994	1000000
chr1	1904	5	1.2311271365191092	1	0.008585578104012606	1.0	3.396722245161948	1000000
chr1	1888	4	1.2689694645460503	1	0.040061703833765686	1.0	2.4243815491031526	1000000
chr1	1884	4	1.321408615506934	1	0.04526175547696404	1.0	2.3301715774473877	60
chr1	1944	5	1.34399417122246	1	0.0121559430064026	1.0	3.153611472430221	60
chr1	1928	4	1.3354531851066298	1	0.046715350627811625	1.0	2.3057330296362117	1000000
chr1	1926	5	1.298620201107816	1	0.010618347649696207	1.0	3.248049005981172	1000000
chr1	539	4	0.9643982881376558	1	0.0168825364215038	1.0	3.0911250433450217	1000000
chr1	120	5	1.1838759281454214	1	0.0073340332796227176	1.0	3.507271540728896	1000000
chr1	23	4	1.2447497234967848	1	0.03778119577215696	1.0	2.4695625772899326	8
chr1	31	5	1.2009556859337256	1	0.007770686002737806	1.0	3.466656956325014	8
chr1	73	4	1.19134798650257	1	0.033023326959303496	1.0	2.5732300636278125	42
chr1	295	4	1.2174764077334783	1	0.035304822852558745	1.0	2.521788025510798	222
chr1	233	4	1.152220491451931	1	0.029772594472711602	1.0	2.6530080233504125	1000000
chr1	181	4	1.0952416251597608	1	0.025391892353715646	1.0	2.7755882609041684	847
chr1	1028	4	1.2841696243675953	1	0.04153206206108831	1.0	2.3965773195533515	47
chr1	1075	4	1.2403544925776546	1	0.037375555771847827	1.0	2.4778806599095233	4
chr1	1079	4	1.21924974967353	1	0.035462890528748826	1.0	2.5183474443664857	4
chr1	1071	6	1.2534999798241424	1	0.001863721166165586	1.0	4.239467608513043	1000000
chr1	959	4	1.31238045150254	1	0.04434092220549822	1.0	2.346053517590919	1000000
chr1	950	4	1.1653097861743154	1	0.030837980151541558	1.0	2.625940658414133	210
chr1	1160	4	1.16219790768432	1	0.030582684778818005	1.0	2.632340465307666	210
chr1	1151	4	1.203572757528664	1	0.03407971377232538	1.0	2.5489854108744123	1000000
chr1	1134	4	1.3109631976432294	1	0.04419733355014233	1.0	2.3485591142792437	1000000
chr1	752	4	1.0529168751275806	1	0.02240578533968115	1.0	2.8720721290636897	1000000
chr1	750	4	1.13942961431531	1	0.0287528778292144	1.0	2.679840133497415	27
chr1	777	4	1.0286210068658503	1	0.020793461760585902	1.0	2.929748590471069	27
chr1	660	5	1.1282854417914985	1	0.006031366493595423	1.0	3.6449690016544984	222
chr1	882	4	1.2237188479965158	1	0.035863064165828296	1.0	2.509704677558849	49
chr1	931	7	1.2572099320292671	1	0.0003312237161872647	1.0	5.121757817093773	49
chr1	806	4	1.1738847844062985	1	0.03154795430295907	1.0	2.608417627945473	1000000
chr1	791	4	0.9903015459980424	1	0.018399270947913667	1.0	3.024400189941734	61
chr1	852	4	1.1151307880839774	1	0.026873723816521974	1.0	2.731890107558675	61
chr1	824	4	1.1673410735243053	1	0.031005301235573247	1.0	2.6217749038497713	1000000
chr2	770	4	1.0940424661269734	2	0.0253041630014059	1.0	2.778255441003479	70
