chr	loc	obs	exp	chr_level	pval	qval	zscore	dist
chr1	1697	1	0.0338516522556044	1	0.033285096023762076	1.0	5.251143421141518	2
chr1	1699	1	0.0334266222423991	1	0.0328741258442157	1.0	5.2867476698300475	2
chr1	1592	1	0.0404865411091163	1	0.039677910705350795	1.0	4.768653130965728	2
chr1	1594	1	0.0397505323717257	1	0.038970845085602356	1.0	4.816289682990888	2
chr1	1631	1	0.0313861636943807	1	0.03089873091692714	1.0	5.467408841649524	37
chr1	1601	1	0.0332007925103755	1	0.03265569540410644	1.0	5.305936650352254	195
chr1	1796	1	0.046318946605633	1	0.04526259662978035	1.0	4.4312251563172955	11
chr1	1807	1	0.0400385483062565	1	0.039247596939381346	1.0	4.797496123276495	11
chr1	1747	1	0.0426606993166036	1	0.041763534797697316	1.0	4.63502309823019	1000000
chr1	1735	1	0.0385065038142059	1	0.03777455341606217	1.0	4.899810753542249	1000000
chr1	1363	1	0.0232173426253844	1	0.022949893940434937	1.0	6.410496758993152	1000000
chr1	1316	1	0.0469808366345185	1	0.04589431870893948	1.0	4.3968460572754715	1
chr1	1317	1	0.04135056002395	1	0.04050728880405537	1.0	4.714320723835188	1
chr1	1521	1	0.0367365792879394	1	0.03606997895927036	1.0	5.025690170614626	6
chr1	1527	1	0.037464142678145	1	0.03677104408771327	1.0	4.972891890464668	1
chr1	1528	1	0.0344478178496359	1	0.03386124643116094	1.0	5.202293995152576	1
chr1	1536	1	0.0420200039464569	1	0.0411494004154168	1.0	4.673350950475871	8
chr1	2297	1	0.0211736891452975	1	0.02095110036591141	1.0	6.726782230174972	147
chr1	2444	1	0.0195814649148783	1	0.01939099329460401	1.0	7.006303136863823	147
chr1	2435	1	0.023950353937395	1	0.023665820297462687	1.0	6.306899932990381	28
chr1	2463	1	0.0292221207949949	1	0.028799283368826232	1.0	5.6788971831183295	28
chr1	2415	1	0.0164414160846867	1	0.016306993709573992	1.0	7.670622727447592	1000000
chr1	2392	1	0.0235401731361168	1	0.023265264616808043	1.0	6.364284039227557	1000000
chr1	1961	1	0.0269840891535848	1	0.026623271351236502	1.0	5.923331796671149	54
chr1	2015	1	0.0229388286095382	1	0.02267773389327877	1.0	6.451135091231448	54
chr1	1990	1	0.023091057715892	1	0.02282649946495557	1.0	6.4288334032676815	153
chr1	2143	1	0.0197608732114916	1	0.019566906905488197	1.0	6.973149363208977	153
chr1	2040	1	0.0244451709116288	1	0.024148807517112122	1.0	6.239576935520173	2
chr1	2042	1	0.0365876447977496	1	0.03592640584177887	1.0	5.0366872505378835	2
chr1	79	1	0.020708660906865	1	0.020495709104083718	1.0	6.805121838382884	49
chr1	128	1	0.0264771366615926	1	0.02612969049254853	1.0	5.982884886953159	49
chr1	274	1	0.0237870304476549	1	0.023506348969728728	1.0	6.329573669778456	146
chr1	272	1	0.0217252298108994	1	0.021490936763124757	1.0	6.6371046224960635	815
chr1	1087	1	0.0173265830903324	1	0.01717734104422675	1.0	7.46539419945629	815
chr1	974	1	0.0452495978975445	1	0.04424110335200454	1.0	4.4883063057790435	260
chr1	1234	1	0.0449002510464029	1	0.04390715366227008	1.0	4.507381795169318	260
chr1	1227	1	0.0418179104134127	1	0.04095560332817576	1.0	4.6856180582779965	1000000
chr1	1115	1	0.0332620261684443	1	0.03271492762096771	1.0	5.300714674089022	3
chr1	1118	1	0.0253693533969084	1	0.02505025548207215	1.0	6.119069194490261	3
chr1	775	1	0.0247843927757025	1	0.02447978143771574	1.0	6.194574801202426	1000000
chr1	759	1	0.0366169785292575	1	0.03595468530297067	1.0	5.034516115878964	1000000
chr1	654	1	0.0326302247199151	1	0.03210360241335749	1.0	5.355283686035202	1000000
chr1	629	1	0.0277219352235815	1	0.027341208648918022	1.0	5.839541049618674	239
chr1	868	1	0.0283357689257	1	0.027938076188264247	1.0	5.772297611946044	239
chr1	781	1	0.0246968222309539	1	0.024394350860216466	1.0	6.206104747819744	27
chr2	808	1	0.0509006627801298	2	0.049626926737565684	1.0	4.206781461978906	27
chr2	805	2	0.0432624336615296	2	0.0009092614147101711	1.0	9.407562444031365	1000000
chr2	801	1	0.0282137279132834	2	0.02781943752770677	1.0	5.785495003113967	1000000
chr2	798	2	0.0344500612297844	2	0.0005799492958635274	1.0	10.589832316058516	107
chr2	905	2	0.0460869374838392	2	0.0010299303229274544	1.0	9.101569953611222	107
chr2	845	1	0.030815930649287	2	0.030345959760042243	1.0	5.5210111333310365	1000000
chr2	653	1	0.0225032621802185	2	0.022251952402205705	1.0	6.51617255971427	26
chr2	679	1	0.0239129996761572	2	0.023629349374290717	1.0	6.31206554286151	26
chr2	675	1	0.0195338169159444	2	0.01934426812452636	1.0	7.015183938075663	1000000
chr2	611	1	0.0285480245099278	2	0.0281443798644803	1.0	5.749542721285479	136
chr2	747	1	0.0385793237278662	2	0.03784462003885046	1.0	4.894813538590456	136
chr2	745	1	0.0270874278773839	2	0.02672385366303743	1.0	5.911394340350235	358
chr2	1103	1	0.0249195781266948	2	0.02461164856740925	1.0	6.1768932193013475	90
chr2	1193	1	0.0405484793640381	2	0.039737389537697995	1.0	4.764702064000398	90
chr2	1178	1	0.0253290015113441	2	0.02501091362779677	1.0	6.124194974771691	1000000
chr2	1173	1	0.024691208964996	2	0.024388874510867718	1.0	6.206845874162361	1000000
chr2	915	1	0.0214585388589693	2	0.021229942448713717	1.0	6.680041462615471	121
chr2	1036	1	0.022027031666426	2	0.02178620805510612	1.0	6.589445384535537	7
chr2	1043	1	0.0228449468915548	2	0.022585976892828222	1.0	6.464998163153566	3
chr2	1046	1	0.0309191156848312	2	0.030446008384800747	1.0	5.511204100118644	3
chr2	1057	1	0.0256811398466978	2	0.025354184218745485	1.0	6.0798653551751904	11
chr2	1056	1	0.0315132209058673	2	0.03102185439979612	1.0	5.455660032363154	1000000
chr2	298	1	0.0379370556020383	2	0.03722645981515311	1.0	4.939371332136957	1000000
chr2	22	1	0.0153148797903649	2	0.01519820340652006	1.0	7.956839156516089	61
chr2	83	1	0.0324690541971832	2	0.03194759347332463	1.0	5.369453002703105	61
chr2	348	1	0.0165000124038272	2	0.016364632810170802	1.0	7.656534141376777	265
chr2	343	1	0.0213291927019385	2	0.02110333411517847	1.0	6.701151320925182	91
chr2	434	1	0.0227777539004287	2	0.022520299314535287	1.0	6.474972030836753	91
chr2	385	1	0.0336841808499651	2	0.03312318536261611	1.0	5.265093573342751	23
chr2	408	1	0.03872251003487	2	0.03798237765173367	1.0	4.885027604110336	23
chr2	404	1	0.0452522584002565	2	0.04424364614775851	1.0	4.4881618572794535	1620
chr2	2024	1	0.0385942747452855	2	0.03785900513316017	1.0	4.893789242708322	1620
chr2	2021	1	0.0184641459507382	2	0.018294727930012973	1.0	7.223398192489724	1000000
chr2	1983	1	0.0162918330859423	2	0.01615983895419876	1.0	7.706927987271611	140
