chr	loc	obs	exp	chr_level	pval	qval	zscore	dist
chr1	1805	3	0.4660098276460295	1	0.011941505301919382	1.0	3.7119950500846177	28822
chr1	1778	3	0.4444935044923034	1	0.01052719899488551	1.0	3.833048193380583	4
chr1	1782	3	0.4163699354759914	1	0.008833053641466637	1.0	4.0039684617841	4
chr1	1355	3	0.4423331683037791	1	0.010390886061484575	1.0	3.8456452424298253	14
chr1	1369	3	0.5034572619789003	1	0.014651154717198368	1.0	3.5185011741604733	14
chr1	1270	3	0.3889048267517156	1	0.00734450590936913	1.0	4.186981435713425	212
chr1	1482	2	0.3542088801424649	1	0.04971320323149845	1.0	2.765317437576183	212
chr1	2272	2	0.3483711238673183	1	0.048269940008258516	1.0	2.7982814430054725	38
chr1	2310	2	0.3470448042563747	1	0.04794421205688608	1.0	2.8058749287494504	38
chr1	2248	2	0.3532702422702874	1	0.049480096673211696	1.0	2.770567947160985	171
chr1	2419	2	0.3470848194019817	1	0.04795402742636768	1.0	2.8056452590968455	62
chr1	2481	3	0.3485480822731878	1	0.005446479843326674	1.0	4.491096709672566	62
chr1	2372	2	0.3442036011372744	1	0.04724918286409954	1.0	2.8222743509243995	1000000
chr1	1972	2	0.3216712479374266	1	0.04187230372287299	1.0	2.9591767951329557	50
chr1	2022	2	0.2975213493138718	1	0.03638704041608262	1.0	3.12120724996142	50
chr1	1884	2	0.3210129550514783	1	0.04171890220783206	1.0	2.9633712654289632	241
chr1	2125	3	0.372704829210806	1	0.00654185117280886	1.0	4.303545089287384	21
chr1	2146	3	0.3752639615753955	1	0.006664977493806664	1.0	4.284668283975719	21
chr1	2085	2	0.3205846654035549	1	0.041619212767974305	1.0	2.9661065093342285	1000000
chr1	140	3	0.4280698583443412	1	0.009516759691058406	1.0	3.930989137140674	1000000
chr1	122	2	0.3434662668177319	1	0.047069424632806486	1.0	2.8265601988062063	1000000
chr1	72	3	0.3438163755394147	1	0.00524591499609851	1.0	4.529964682113036	169
chr1	241	3	0.3697423592195137	1	0.00640102755391948	1.0	4.325623210118924	169
chr1	178	2	0.3507699860998656	1	0.04886112458634354	1.0	2.7846461538732896	870
chr1	1048	3	0.302674755429006	1	0.0036893378273437486	1.0	4.902811735152743	3
chr1	1051	2	0.339780974380874	1	0.04617477414997922	1.0	2.848169672473729	3
chr1	1087	2	0.298807373676731	1	0.03667162647470767	1.0	3.1121307623647416	36
chr1	1066	3	0.337822522395083	1	0.004998336426189918	1.0	4.580287138072874	1000000
chr1	961	2	0.325440939579128	1	0.042754845863590026	1.0	2.9353803106576724	129
chr1	1090	2	0.3147857692690223	1	0.04027839370047765	1.0	3.003637878404279	78
chr1	1168	2	0.3508526091718216	1	0.04888153348165309	1.0	2.784178764581259	78
chr1	709	2	0.3457274685290692	1	0.04762149402332844	1.0	2.8134559213327965	44
chr1	753	2	0.3546784919062402	1	0.04982997914041674	1.0	2.762697587027161	44
chr1	670	4	0.4069606043950913	1	0.0008271555737819689	0.6763312524187988	5.632300195967539	251
chr1	921	2	0.3515995999734737	1	0.04906619076180565	1.0	2.7799598596123904	251
chr1	843	3	0.399909702122251	1	0.007921490463520121	1.0	4.111567840206402	1000000
chr2	806	3	0.4367355367899796	2	0.01004248947542861	1.0	3.878681786286174	1000000
chr2	795	2	0.327510023866019	2	0.04324219685810894	1.0	2.9224778296210885	1000000
chr2	777	2	0.3201198828876075	2	0.041511131520554696	1.0	2.9690804487781364	91
chr2	868	2	0.340593950967394	2	0.0463715875871741	1.0	2.8433754125337383	91
chr2	856	3	0.3894534408537253	2	0.007372658459244401	1.0	4.1831522423557725	1000000
chr2	745	2	0.3512582115510716	2	0.048981767403425754	1.0	2.7818864725911894	1000000
chr2	689	2	0.3315778592437869	2	0.04420637230472237	1.0	2.8974315368914048	418
